"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, statistiène regije, Slovenija, letno"

"SPOL","STATISTIÈNA REGIJA","2007 Starost - SKUPAJ","2008 Starost - SKUPAJ","2009 Starost - SKUPAJ","2010 Starost - SKUPAJ","2011 Starost - SKUPAJ","2012 Starost - SKUPAJ","2013 Starost - SKUPAJ","2014 Starost - SKUPAJ"
"Spol - SKUPAJ","SLOVENIJA",2010377,2025866,2032362,2046976,2050189,2055496,2058821,2061085
"Spol - SKUPAJ","Pomurska",122068,121824,119537,119548,119145,118988,118022,117133
"Spol - SKUPAJ","Podravska",319706,321781,322900,323343,323119,323534,323238,323328
"Spol - SKUPAJ","Koroška",73619,73714,72481,72812,72494,72364,72100,71546
"Spol - SKUPAJ","Savinjska",258480,261243,258845,260025,259726,260253,260217,259853
"Spol - SKUPAJ","Zasavska",45229,45226,44750,44706,44222,43926,43502,42983
"Spol - SKUPAJ","Posavska",70058,70353,69900,70192,70167,70164,70211,69958
"Spol - SKUPAJ","Jugovzhodna Slovenija",140258,141547,141166,142092,142483,142680,142509,142405
"Spol - SKUPAJ","Osrednjeslovenska",503935,508607,521965,529646,533213,536484,541718,546314
"Spol - SKUPAJ","Gorenjska",199902,201254,201779,202903,203427,204057,203984,203894
"Spol - SKUPAJ","Primorsko-notranjska",51483,52083,51728,52217,52287,52387,52382,52449
"Spol - SKUPAJ","Goriška",119477,120329,118533,119080,119146,119236,119002,118374
"Spol - SKUPAJ","Obalno-kraška",106162,107905,108778,110412,110760,111423,111936,112848
